Round,Accuracy,Average Loss
1,11.78,2.3001
2,23.82,2.0669
3,27.15,1.8192
4,33.95,1.6939
5,39.70,1.5554
6,43.93,1.4468
7,48.82,1.3644
8,52.93,1.2744
9,55.36,1.2021
10,58.20,1.1359
11,60.42,1.0764
12,63.64,1.0079
13,65.64,0.9591
14,66.99,0.9131
15,68.87,0.8744
16,70.36,0.8358
17,70.19,0.8252
18,72.19,0.7859
19,72.61,0.7647
20,74.05,0.7404
21,75.13,0.7151
22,75.68,0.6945
23,76.36,0.6829
24,77.22,0.6510
25,77.81,0.6394
26,78.42,0.6259
27,79.45,0.6022
28,79.81,0.5953
29,80.15,0.5892
30,80.41,0.5746
31,80.47,0.5697
32,80.97,0.5564
33,81.42,0.5468
34,81.61,0.5381
35,81.89,0.5331
36,82.45,0.5196
37,82.89,0.5130
38,82.76,0.5081
39,83.43,0.4963
40,83.10,0.4929
41,83.41,0.4929
42,83.41,0.4953
43,83.76,0.4829
44,84.12,0.4778
45,84.34,0.4729
46,84.38,0.4695
47,84.83,0.4617
48,84.39,0.4646
49,84.38,0.4603
50,84.89,0.4508
51,84.92,0.4509
52,85.41,0.4476
53,85.73,0.4364
54,85.46,0.4424
55,85.47,0.4397
56,85.76,0.4295
57,85.69,0.4359
58,86.14,0.4287
59,85.66,0.4373
60,86.05,0.4279
61,86.06,0.4274
62,86.30,0.4147
63,85.92,0.4293
64,86.42,0.4233
65,86.57,0.4223
66,86.30,0.4197
67,86.41,0.4142
68,86.27,0.4199
69,86.52,0.4248
70,86.71,0.4087
71,86.27,0.4232
72,86.98,0.4113
73,86.78,0.4113
74,86.82,0.4107
75,86.61,0.4110
76,86.89,0.4071
77,86.80,0.4132
78,87.22,0.4178
79,87.34,0.4136
80,87.00,0.4277
81,87.23,0.4059
82,87.14,0.4068
83,87.30,0.4120
84,87.02,0.4114
85,87.18,0.4167
86,87.15,0.4152
87,87.21,0.4047
88,87.09,0.4134
89,87.04,0.4120
90,87.08,0.4178
91,86.99,0.4256
92,87.02,0.4150
93,87.39,0.4126
94,87.41,0.4117
95,87.50,0.4053
96,87.51,0.4246
97,87.33,0.4215
98,87.72,0.4134
99,87.30,0.4278
100,87.53,0.4266
101,87.35,0.4311
102,87.53,0.4250
103,87.37,0.4266
104,87.46,0.4314
105,87.48,0.4200
106,87.51,0.4215
107,87.53,0.4293
108,87.50,0.4223
109,87.47,0.4271
110,87.65,0.4396
111,87.50,0.4229
112,87.35,0.4306
113,87.60,0.4246
114,87.94,0.4170
115,87.49,0.4397
116,87.93,0.4320
117,87.78,0.4401
118,87.37,0.4434
119,87.90,0.4305
120,87.49,0.4401
121,87.52,0.4369
122,87.76,0.4456
123,87.80,0.4587
124,88.01,0.4463
125,88.26,0.4300
