Round,Accuracy,Average Loss
1,10.01,2.3022
2,24.58,2.1265
3,31.23,1.7838
4,36.48,1.6222
5,43.19,1.4991
6,46.25,1.4059
7,50.59,1.3244
8,53.86,1.2503
9,55.95,1.1902
10,59.08,1.1208
11,61.43,1.0649
12,63.60,1.0068
13,66.07,0.9536
14,67.07,0.9251
15,68.71,0.8873
16,69.78,0.8522
17,70.46,0.8266
18,71.74,0.7983
19,72.18,0.7787
20,73.64,0.7570
21,74.08,0.7327
22,75.10,0.7135
23,75.48,0.6945
24,76.67,0.6692
25,77.69,0.6508
26,78.39,0.6320
27,78.57,0.6192
28,79.40,0.6026
29,79.27,0.5976
30,80.40,0.5758
31,80.38,0.5723
32,80.78,0.5611
33,81.06,0.5535
34,81.09,0.5464
35,81.36,0.5381
36,82.23,0.5242
37,82.28,0.5204
38,82.68,0.5133
39,83.18,0.5008
40,83.38,0.4931
41,83.41,0.4939
42,83.74,0.4859
43,83.81,0.4808
44,84.06,0.4722
45,84.34,0.4701
46,84.19,0.4665
47,83.98,0.4737
48,84.53,0.4584
49,84.91,0.4557
50,84.88,0.4483
51,85.06,0.4443
52,85.21,0.4405
53,85.76,0.4342
54,85.87,0.4281
55,85.25,0.4394
56,85.26,0.4333
57,85.74,0.4333
58,85.81,0.4330
59,85.79,0.4267
60,86.16,0.4258
61,86.24,0.4187
62,86.40,0.4136
63,86.75,0.4169
64,86.43,0.4089
65,86.42,0.4226
66,86.35,0.4151
67,86.03,0.4246
68,86.35,0.4200
69,86.35,0.4204
70,86.50,0.4217
71,86.85,0.4077
72,86.61,0.4062
73,86.89,0.4121
74,86.83,0.4106
75,86.58,0.4195
76,87.07,0.4119
77,86.66,0.4029
78,87.19,0.3974
79,87.42,0.3974
80,87.26,0.4062
81,87.09,0.4043
82,87.31,0.4081
83,87.29,0.4013
84,87.33,0.4071
85,87.39,0.4027
86,87.48,0.4069
87,87.62,0.3889
88,87.20,0.4029
89,87.64,0.4004
90,87.52,0.3991
91,87.53,0.4008
92,87.75,0.3937
93,87.80,0.4045
94,87.43,0.4080
95,87.39,0.4163
96,87.72,0.4040
97,87.42,0.4080
98,88.01,0.4108
99,87.43,0.4173
100,87.98,0.4083
101,87.48,0.4249
102,87.34,0.4226
103,87.81,0.4116
104,88.02,0.4211
105,87.91,0.4057
106,87.59,0.4180
107,87.75,0.4206
108,88.13,0.4075
109,87.94,0.4177
110,87.73,0.4066
111,87.76,0.4153
112,87.91,0.4269
113,88.28,0.4115
114,87.68,0.4257
115,87.60,0.4208
116,88.00,0.4189
117,87.79,0.4385
118,87.98,0.4377
119,87.95,0.4358
120,88.11,0.4355
121,87.92,0.4232
122,87.65,0.4432
123,88.32,0.4160
124,88.03,0.4429
125,87.58,0.4469
