Round,Accuracy,Average Loss
1,10.00,2.3026
2,20.41,2.0255
3,25.59,2.1279
4,26.90,1.9627
5,35.20,1.8643
6,31.54,1.8133
7,38.95,1.6145
8,37.71,1.6611
9,42.64,1.4637
10,44.21,1.5836
11,50.44,1.3181
12,50.96,1.3731
13,54.20,1.2341
14,57.29,1.2034
15,60.21,1.1039
16,59.57,1.1698
17,63.26,1.0245
18,63.43,1.0308
19,65.06,0.9809
20,65.59,0.9674
21,68.76,0.8938
22,68.16,0.9144
23,71.01,0.8342
24,70.72,0.8546
25,71.84,0.8106
26,72.53,0.8279
27,74.43,0.7472
28,74.66,0.7550
29,75.43,0.7289
30,75.42,0.7280
31,75.49,0.7174
32,75.64,0.7048
33,76.94,0.6769
34,77.81,0.6724
35,78.13,0.6446
36,78.47,0.6477
37,78.68,0.6366
38,78.56,0.6296
39,78.68,0.6235
40,78.69,0.6317
41,79.69,0.6084
42,79.90,0.6064
43,80.81,0.5750
44,80.69,0.5820
45,81.22,0.5801
46,80.13,0.5983
47,80.92,0.5780
48,80.65,0.5841
49,81.79,0.5486
50,81.44,0.5532
51,82.03,0.5322
52,81.93,0.5460
53,82.11,0.5296
54,82.28,0.5354
55,81.97,0.5387
56,82.25,0.5433
57,82.47,0.5232
58,82.86,0.5344
59,82.91,0.5261
60,82.83,0.5261
61,82.48,0.5365
62,82.87,0.5302
63,82.70,0.5333
64,82.70,0.5439
65,82.79,0.5248
66,82.33,0.5529
67,83.42,0.5097
68,83.42,0.5297
69,83.39,0.5101
70,82.65,0.5394
71,83.24,0.5095
72,83.37,0.5200
73,83.88,0.5106
74,84.48,0.4937
75,83.39,0.5226
76,83.88,0.5085
77,84.10,0.4974
78,83.93,0.5099
79,84.14,0.5025
80,84.35,0.4983
81,84.71,0.4873
82,84.99,0.4744
83,84.47,0.4794
84,85.65,0.4568
85,84.67,0.4936
86,84.97,0.4848
87,84.31,0.5026
88,84.08,0.5022
89,84.80,0.4945
90,84.93,0.4696
91,84.85,0.5010
92,84.93,0.4666
93,84.92,0.4955
94,84.83,0.4750
95,84.50,0.5093
96,84.45,0.4906
97,84.78,0.5144
98,84.88,0.4868
99,85.09,0.4888
100,85.44,0.4798
101,85.23,0.4933
102,84.64,0.4942
103,84.07,0.5428
104,84.79,0.4953
105,84.66,0.5209
106,84.88,0.4861
107,85.14,0.5041
108,85.45,0.4776
109,84.92,0.4852
110,85.23,0.5039
111,84.86,0.5047
112,85.71,0.4873
113,85.56,0.4906
114,86.13,0.4587
115,85.94,0.4558
116,85.54,0.4795
117,85.66,0.4792
118,86.03,0.4689
119,86.07,0.4735
120,86.27,0.4701
121,85.94,0.4642
122,86.09,0.4645
123,86.34,0.4871
124,86.35,0.4589
125,86.28,0.4945
