Round,Accuracy,Average Loss
1,10.00,2.3024
2,23.89,2.1522
3,26.74,1.8311
4,31.79,1.7095
5,39.12,1.5888
6,43.33,1.4788
7,46.86,1.3980
8,49.92,1.3135
9,53.27,1.2487
10,56.53,1.1822
11,59.21,1.1110
12,61.61,1.0464
13,64.52,0.9855
14,66.00,0.9543
15,67.68,0.9011
16,69.08,0.8687
17,69.69,0.8370
18,70.94,0.8103
19,71.87,0.7796
20,73.47,0.7552
21,74.31,0.7292
22,74.86,0.7146
23,75.88,0.6925
24,76.83,0.6736
25,77.27,0.6607
26,78.01,0.6349
27,78.35,0.6203
28,79.26,0.6061
29,79.95,0.5951
30,79.85,0.5901
31,80.36,0.5737
32,80.89,0.5623
33,81.33,0.5557
34,81.59,0.5463
35,81.60,0.5429
36,82.01,0.5301
37,82.66,0.5140
38,82.76,0.5120
39,82.61,0.5191
40,83.10,0.5024
41,83.08,0.5006
42,83.54,0.4996
43,83.93,0.4835
44,83.89,0.4858
45,83.93,0.4698
46,83.99,0.4760
47,84.16,0.4672
48,84.67,0.4611
49,84.47,0.4591
50,84.78,0.4639
51,84.98,0.4506
52,84.74,0.4570
53,84.87,0.4475
54,85.32,0.4429
55,85.37,0.4361
56,85.36,0.4401
57,85.44,0.4360
58,85.68,0.4387
59,86.22,0.4294
60,85.97,0.4289
61,85.56,0.4324
62,85.86,0.4336
63,86.04,0.4185
64,86.01,0.4307
65,86.11,0.4193
66,86.57,0.4140
67,86.21,0.4223
68,86.61,0.4088
69,86.71,0.4130
70,86.60,0.4153
71,86.54,0.4126
72,86.78,0.4118
73,86.42,0.4232
74,86.49,0.4081
75,86.72,0.4097
76,87.01,0.4089
77,87.26,0.3987
78,87.41,0.4056
79,87.09,0.4097
80,87.12,0.4047
81,87.04,0.4113
82,87.16,0.4099
83,86.87,0.4198
84,87.15,0.4143
85,87.07,0.4082
86,86.99,0.4191
87,87.44,0.4024
88,87.45,0.4099
89,87.42,0.4087
90,87.33,0.4127
91,87.67,0.4066
92,87.36,0.4165
93,87.21,0.4200
94,87.67,0.4132
95,87.69,0.4031
96,87.20,0.4188
97,87.64,0.4156
98,87.73,0.4054
99,87.56,0.4218
100,87.35,0.4111
101,87.34,0.4218
102,87.36,0.4171
103,87.67,0.4191
104,87.31,0.4232
105,87.45,0.4200
106,87.52,0.4273
107,87.68,0.4308
108,87.80,0.4088
109,87.76,0.4282
110,87.65,0.4283
111,87.94,0.4161
112,88.07,0.4219
113,87.96,0.4351
114,88.23,0.4224
115,87.88,0.4322
116,88.08,0.4288
117,87.57,0.4386
118,87.73,0.4426
119,87.68,0.4361
120,87.96,0.4435
121,87.66,0.4329
122,88.05,0.4323
123,88.00,0.4287
124,87.79,0.4318
125,87.82,0.4533
126,88.16,0.4377
127,88.35,0.4357
128,88.26,0.4241
129,88.35,0.4277
130,88.29,0.4512
131,87.82,0.4550
132,88.18,0.4455
133,88.15,0.4330
134,88.16,0.4529
135,88.23,0.4496
136,87.88,0.4620
137,87.92,0.4467
138,88.11,0.4638
139,88.22,0.4470
140,88.14,0.4552
141,88.08,0.4595
142,88.04,0.4650
143,87.96,0.4539
144,87.91,0.4655
145,88.03,0.4620
146,88.02,0.4651
147,87.79,0.4766
148,88.10,0.4601
149,88.12,0.4707
150,87.62,0.4670
