Round,Accuracy,Average Loss
1,10.05,2.3021
2,24.16,2.1173
3,29.01,1.8073
4,33.73,1.6867
5,39.11,1.5752
6,44.11,1.4638
7,48.54,1.3687
8,51.80,1.2853
9,55.31,1.2110
10,58.28,1.1355
11,61.23,1.0637
12,63.10,1.0176
13,65.10,0.9667
14,67.37,0.9089
15,68.19,0.8830
16,69.87,0.8461
17,70.78,0.8107
18,71.55,0.7875
19,73.30,0.7556
20,73.57,0.7366
21,74.75,0.7137
22,75.89,0.6890
23,76.66,0.6693
24,77.08,0.6556
25,77.48,0.6388
26,78.18,0.6267
27,78.65,0.6122
28,79.36,0.5976
29,80.05,0.5780
30,80.32,0.5695
31,80.58,0.5583
32,81.38,0.5455
33,81.46,0.5384
34,81.67,0.5344
35,82.02,0.5196
36,82.61,0.5117
37,82.52,0.5040
38,82.87,0.4985
39,83.44,0.4859
40,83.27,0.4927
41,83.42,0.4840
42,84.34,0.4761
43,83.86,0.4783
44,84.19,0.4702
45,84.43,0.4678
46,84.47,0.4618
47,84.76,0.4596
48,85.01,0.4528
49,85.07,0.4479
50,85.22,0.4411
51,85.18,0.4456
52,85.44,0.4340
53,85.31,0.4402
54,85.67,0.4307
55,85.78,0.4300
56,85.54,0.4302
57,85.93,0.4345
58,86.34,0.4252
59,85.61,0.4292
60,85.96,0.4230
61,86.35,0.4123
62,86.63,0.4195
63,86.32,0.4173
64,86.55,0.4152
65,86.55,0.4135
66,86.77,0.4125
67,86.76,0.4046
68,86.84,0.4066
69,86.95,0.4067
70,87.12,0.4151
71,87.22,0.4051
72,87.02,0.4060
73,86.93,0.4118
74,86.61,0.4156
75,87.06,0.4048
76,87.32,0.4065
77,87.07,0.4006
78,87.33,0.4028
79,87.52,0.4052
80,87.69,0.4032
81,87.42,0.4063
82,87.66,0.3993
83,87.42,0.4073
84,86.94,0.4183
85,87.17,0.4215
86,87.26,0.4089
87,87.36,0.4107
88,87.68,0.4032
89,87.76,0.4014
90,87.96,0.4133
91,87.93,0.3996
92,87.74,0.4003
93,87.23,0.4155
94,87.37,0.4204
95,87.40,0.4186
96,87.32,0.4134
97,87.46,0.4205
98,87.39,0.4132
99,87.44,0.4250
100,87.58,0.4246
