Round,Accuracy,Average Loss
1,10.05,2.3005
2,25.29,2.0115
3,30.36,1.7744
4,37.52,1.6295
5,41.65,1.5246
6,45.49,1.4261
7,49.52,1.3495
8,52.52,1.2683
9,56.03,1.1949
10,58.79,1.1253
11,61.46,1.0694
12,63.47,1.0096
13,66.08,0.9541
14,67.10,0.9136
15,68.42,0.8804
16,70.06,0.8388
17,70.55,0.8234
18,72.18,0.7797
19,72.76,0.7652
20,74.14,0.7381
21,74.55,0.7168
22,75.81,0.6958
23,75.95,0.6805
24,77.00,0.6595
25,78.04,0.6385
26,78.46,0.6182
27,78.98,0.6094
28,79.23,0.5995
29,80.15,0.5794
30,80.22,0.5733
31,80.79,0.5566
32,81.10,0.5554
33,81.39,0.5401
34,81.61,0.5378
35,82.02,0.5268
36,82.39,0.5212
37,83.23,0.5030
38,83.01,0.4972
39,83.47,0.4922
40,83.13,0.5009
41,83.70,0.4906
42,83.65,0.4816
43,84.12,0.4731
44,83.86,0.4767
45,84.64,0.4614
46,84.61,0.4618
47,84.70,0.4592
48,84.50,0.4597
49,84.58,0.4527
50,85.02,0.4468
51,85.30,0.4420
52,85.18,0.4409
53,85.20,0.4409
54,85.41,0.4371
55,85.73,0.4264
56,85.69,0.4304
57,85.91,0.4252
58,85.99,0.4234
59,85.98,0.4249
60,85.75,0.4246
61,86.13,0.4209
62,86.05,0.4240
63,86.19,0.4201
64,86.37,0.4077
65,86.61,0.4146
66,86.70,0.4115
67,86.82,0.4149
68,86.39,0.4158
69,86.76,0.4098
70,87.10,0.4079
71,86.17,0.4122
72,87.09,0.4075
73,87.06,0.4002
74,87.25,0.4017
75,87.08,0.4084
76,86.91,0.4093
77,87.17,0.4002
78,87.19,0.4120
79,87.06,0.4110
80,87.39,0.4045
81,86.88,0.4118
82,87.04,0.4101
83,87.17,0.4151
84,87.57,0.4036
85,87.57,0.4049
86,87.24,0.4099
87,87.63,0.4022
88,87.32,0.4059
89,87.24,0.4063
90,87.22,0.4047
91,87.06,0.4208
92,87.80,0.4129
93,87.68,0.4111
94,87.65,0.4013
95,87.91,0.4134
96,87.54,0.4146
97,87.58,0.4174
98,87.80,0.4153
99,87.62,0.4134
100,87.55,0.4267
101,87.29,0.4252
102,87.65,0.4227
103,87.49,0.4154
104,87.77,0.4095
105,87.69,0.4264
106,87.88,0.4195
107,87.84,0.4195
108,87.87,0.4156
109,87.88,0.4233
110,87.67,0.4297
111,88.04,0.4180
112,87.78,0.4239
113,87.92,0.4195
114,87.64,0.4271
115,87.95,0.4201
116,88.09,0.4353
117,87.73,0.4264
118,87.87,0.4360
119,87.72,0.4289
120,87.94,0.4268
121,87.70,0.4394
122,87.61,0.4370
123,88.17,0.4175
124,88.02,0.4322
125,87.91,0.4402
126,87.97,0.4409
127,87.99,0.4339
128,87.91,0.4407
129,88.04,0.4446
130,88.17,0.4487
131,87.81,0.4473
132,87.98,0.4439
133,87.85,0.4460
134,87.99,0.4649
135,88.27,0.4507
136,87.77,0.4622
137,88.07,0.4455
138,87.91,0.4607
139,87.88,0.4594
140,87.79,0.4706
141,88.23,0.4526
142,88.28,0.4620
143,88.37,0.4563
144,87.80,0.4550
145,88.50,0.4639
146,87.88,0.4576
147,88.15,0.4544
148,87.80,0.4704
149,88.34,0.4684
150,87.68,0.4584
151,87.82,0.4595
152,87.65,0.4696
153,88.11,0.4675
154,87.95,0.4728
155,88.14,0.4744
156,88.23,0.4522
157,88.38,0.4778
158,88.20,0.4527
159,88.11,0.4768
160,88.22,0.4759
161,87.88,0.4817
162,88.09,0.4596
163,88.33,0.4746
164,88.03,0.4747
165,88.63,0.4776
166,88.61,0.4794
167,88.43,0.4559
168,88.36,0.4756
169,88.35,0.4961
170,88.66,0.4574
171,88.47,0.4771
172,88.29,0.4774
173,88.32,0.4989
174,88.10,0.5014
175,88.09,0.4752
176,87.85,0.4953
177,88.35,0.4974
178,87.91,0.4850
179,88.29,0.5029
180,87.89,0.4818
181,88.61,0.4938
182,88.26,0.5143
183,88.35,0.4831
184,88.36,0.4842
185,88.34,0.4938
186,88.00,0.5282
187,88.64,0.4740
188,88.37,0.5087
189,88.29,0.4741
190,88.22,0.5151
191,88.02,0.5077
192,88.31,0.5158
193,88.25,0.5106
194,88.67,0.5070
195,88.06,0.4980
196,88.46,0.5108
197,88.74,0.4685
198,88.29,0.5242
199,88.07,0.5049
200,88.23,0.5027
