Round,Accuracy,Average Loss
1,10.00,2.3026
2,21.38,1.9708
3,21.21,2.0693
4,24.39,1.8854
5,33.04,1.8000
6,34.45,1.6664
7,39.62,1.5631
8,42.00,1.4949
9,45.60,1.4429
10,49.43,1.3772
11,53.59,1.2809
12,55.21,1.2218
13,58.30,1.1472
14,59.58,1.1157
15,62.79,1.0379
16,63.41,1.0224
17,65.71,0.9671
18,66.72,0.9531
19,68.15,0.9011
20,68.78,0.8838
21,69.69,0.8703
22,69.69,0.8612
23,72.08,0.8175
24,72.60,0.7915
25,73.26,0.7779
26,74.30,0.7496
27,75.26,0.7292
28,74.86,0.7218
29,76.20,0.7040
30,74.89,0.7192
31,76.54,0.6986
32,75.98,0.6945
33,77.66,0.6597
34,77.33,0.6600
35,77.48,0.6571
36,78.56,0.6305
37,79.22,0.6207
38,79.22,0.6096
39,79.83,0.6032
40,79.40,0.6031
41,80.97,0.5748
42,80.06,0.5901
43,80.98,0.5671
44,80.47,0.5705
45,80.81,0.5748
46,81.39,0.5628
47,81.87,0.5441
48,81.76,0.5529
49,81.46,0.5513
50,81.97,0.5449
51,82.61,0.5205
52,82.05,0.5352
53,83.37,0.5137
54,82.36,0.5354
55,82.65,0.5292
56,82.24,0.5365
57,82.19,0.5489
58,82.67,0.5297
59,82.79,0.5307
60,83.00,0.5083
61,84.03,0.4964
62,82.94,0.5196
63,83.88,0.4948
64,83.50,0.4958
65,83.86,0.4932
66,83.85,0.4928
67,83.68,0.4950
68,83.50,0.4983
69,84.09,0.4929
70,84.41,0.4757
71,84.17,0.4930
72,83.97,0.4969
73,84.41,0.4864
74,84.19,0.4768
75,84.35,0.4938
76,84.44,0.4730
77,84.02,0.4882
78,84.86,0.4726
79,85.01,0.4760
80,84.93,0.4653
81,84.59,0.4729
82,85.12,0.4646
83,84.93,0.4710
84,84.56,0.4626
85,85.04,0.4614
86,84.84,0.4585
87,85.23,0.4727
88,85.27,0.4544
89,85.10,0.4868
90,84.86,0.4668
91,85.32,0.4797
92,85.37,0.4558
93,85.40,0.4737
94,85.47,0.4475
95,85.89,0.4767
96,85.31,0.4610
97,86.08,0.4547
98,85.90,0.4556
99,85.80,0.4717
100,85.73,0.4507
101,85.83,0.4749
102,85.83,0.4413
103,85.64,0.4807
104,86.08,0.4402
105,86.40,0.4668
106,85.99,0.4332
107,85.99,0.4826
108,85.57,0.4430
109,86.81,0.4739
110,85.15,0.4535
111,86.27,0.4754
112,85.40,0.4608
113,86.09,0.4927
114,86.24,0.4356
115,86.35,0.4714
116,86.24,0.4400
117,85.82,0.4893
118,86.82,0.4264
119,87.02,0.4383
120,86.35,0.4398
121,86.32,0.4867
122,86.45,0.4368
123,86.46,0.4654
124,86.51,0.4431
125,85.69,0.4992
126,86.50,0.4350
127,86.33,0.4933
128,86.11,0.4442
129,86.63,0.4844
130,86.48,0.4383
131,86.48,0.4883
132,86.37,0.4353
133,87.08,0.4954
134,86.76,0.4259
135,86.53,0.5168
136,86.85,0.4209
137,86.72,0.5341
138,87.00,0.4164
139,86.51,0.5674
140,87.04,0.3978
141,87.67,0.5244
142,86.65,0.4109
143,87.23,0.5497
144,86.93,0.4101
145,87.03,0.5419
146,87.56,0.4012
147,86.99,0.5702
148,86.74,0.4165
149,87.15,0.5761
150,86.51,0.4225
151,87.72,0.5485
152,86.95,0.4180
153,87.49,0.5688
154,86.28,0.4318
155,86.89,0.6112
156,86.69,0.4224
157,87.03,0.5910
158,86.70,0.4078
159,87.00,0.5993
160,86.82,0.4106
161,86.89,0.6156
162,86.37,0.4333
163,87.53,0.5686
164,87.14,0.4140
165,87.70,0.6003
166,86.73,0.4188
167,87.12,0.6133
168,86.74,0.4259
169,87.16,0.6196
170,86.64,0.4298
171,88.00,0.6004
172,86.81,0.4176
173,87.26,0.6559
174,86.01,0.4287
175,87.41,0.6989
176,86.27,0.4259
177,87.71,0.6466
178,86.82,0.4086
179,87.65,0.6748
180,86.74,0.4108
181,87.41,0.7022
182,86.84,0.3985
183,87.78,0.6929
184,86.55,0.4106
185,87.95,0.7047
186,86.22,0.4248
187,87.73,0.6814
188,86.49,0.4366
189,87.61,0.6856
190,86.63,0.4350
191,87.54,0.6883
192,86.39,0.4290
193,87.76,0.6571
194,86.95,0.4337
195,87.34,0.6454
196,86.73,0.4442
197,87.40,0.6531
198,86.51,0.4556
199,87.59,0.6345
200,86.52,0.4766
