Round,Accuracy,Average Loss
1,10.02,2.3005
2,21.93,1.9840
3,25.13,2.1466
4,25.68,2.1291
5,32.30,1.9650
6,28.94,2.0924
7,37.10,1.7276
8,31.46,2.1126
9,39.91,1.5600
10,39.45,1.7803
11,47.49,1.4051
12,48.12,1.4999
13,52.54,1.3038
14,52.05,1.4505
15,56.23,1.2641
16,56.77,1.2922
17,59.19,1.1615
18,60.92,1.1750
19,61.74,1.0820
20,61.12,1.1671
21,63.14,1.0706
22,66.18,0.9838
23,66.82,0.9773
24,68.71,0.9190
25,69.80,0.8946
26,68.07,0.9436
27,70.02,0.8771
28,70.84,0.8608
29,72.28,0.8210
30,71.79,0.8261
31,74.65,0.7673
32,73.79,0.7786
33,74.00,0.7735
34,75.19,0.7402
35,75.32,0.7316
36,74.83,0.7563
37,76.18,0.7245
38,77.15,0.6816
39,77.12,0.6993
40,77.05,0.6892
41,77.30,0.6866
42,77.02,0.6969
43,77.15,0.6896
44,76.52,0.7109
45,77.53,0.6847
46,77.05,0.6828
47,78.03,0.6633
48,78.51,0.6621
49,78.34,0.6673
50,78.13,0.6718
51,78.05,0.6663
52,78.31,0.6541
53,79.35,0.6383
54,78.92,0.6373
55,79.38,0.6399
56,78.40,0.6754
57,79.94,0.6250
58,79.21,0.6524
59,80.42,0.5963
60,79.59,0.6263
61,81.48,0.5681
62,80.71,0.6011
63,79.73,0.6141
64,80.84,0.6079
65,82.24,0.5496
66,80.92,0.5946
67,81.77,0.5533
68,80.85,0.5937
69,81.99,0.5511
70,80.85,0.6120
71,81.48,0.5668
72,80.76,0.6067
73,82.78,0.5557
74,81.76,0.5846
75,82.43,0.5721
76,81.55,0.5735
77,82.06,0.5744
78,82.57,0.5470
79,82.43,0.5711
80,82.95,0.5396
81,82.59,0.5779
82,81.71,0.5917
83,82.51,0.5639
84,83.06,0.5216
85,82.86,0.5485
86,82.68,0.5286
87,83.12,0.5442
88,82.98,0.5242
89,83.28,0.5707
90,82.28,0.5439
91,82.93,0.5635
92,82.10,0.5625
93,83.00,0.5776
94,82.14,0.5532
95,82.54,0.6186
96,80.22,0.6166
97,83.37,0.5887
98,81.19,0.5755
99,84.00,0.6019
100,82.82,0.5347
101,84.06,0.5942
102,83.23,0.5105
103,83.56,0.5823
104,82.67,0.5255
105,84.73,0.5506
106,84.19,0.4931
107,84.17,0.5801
108,83.35,0.5056
109,84.48,0.5485
110,83.65,0.5169
111,84.56,0.5548
112,83.30,0.5137
113,83.94,0.5876
114,83.76,0.5006
115,84.34,0.5817
116,83.69,0.4957
117,83.92,0.6075
118,83.44,0.5156
119,83.93,0.6388
120,82.08,0.5592
121,83.72,0.6505
122,83.02,0.5334
123,83.91,0.6289
124,82.75,0.5266
125,84.21,0.6129
126,81.90,0.5451
127,83.91,0.6403
128,82.47,0.5401
129,84.01,0.6573
130,83.09,0.5240
131,83.93,0.6496
132,82.73,0.5349
133,84.40,0.6596
134,83.12,0.5134
135,85.20,0.6432
136,82.42,0.5508
137,84.69,0.6659
138,82.32,0.5557
139,84.03,0.7473
140,82.21,0.5613
141,83.96,0.7744
142,82.57,0.5464
143,84.03,0.7696
144,81.83,0.5710
145,83.63,0.8106
146,81.91,0.5611
147,82.60,0.9402
148,82.11,0.5507
149,82.67,0.9719
150,82.47,0.5308
151,83.26,0.9195
152,81.67,0.5557
153,83.73,0.9612
154,81.11,0.5724
155,82.95,1.0792
156,80.18,0.6100
157,83.48,1.0616
158,79.21,0.6416
159,83.52,1.1037
160,80.49,0.6104
161,83.46,1.0931
162,80.65,0.5920
163,83.63,1.1326
164,81.01,0.5928
165,83.10,1.0510
166,81.10,0.5759
167,82.95,1.0457
168,81.71,0.5758
169,82.97,1.0856
170,80.92,0.6064
171,81.66,1.1691
172,80.97,0.5976
173,82.18,1.1644
174,80.65,0.6302
175,82.63,1.0247
176,80.59,0.6238
177,82.41,1.0250
178,81.44,0.6300
179,82.67,0.9440
180,81.30,0.6515
181,83.06,0.8953
182,80.88,0.6776
183,82.87,0.8743
184,80.70,0.7068
185,82.40,0.9626
186,80.18,0.7663
187,82.87,0.8822
188,80.10,0.7247
189,83.16,0.8620
190,80.03,0.7712
191,83.19,0.8463
192,80.36,0.7497
193,83.54,0.8124
194,81.04,0.7296
195,83.95,0.7621
196,81.48,0.7261
197,83.56,0.7961
198,81.67,0.7017
199,83.78,0.7926
200,82.54,0.6791
