Round,Accuracy,Average Loss
1,10.00,2.3026
2,23.11,2.0208
3,23.94,2.0455
4,25.62,1.8808
5,30.53,1.8793
6,29.62,1.8512
7,38.21,1.6858
8,37.27,1.7202
9,45.22,1.4721
10,48.56,1.4167
11,52.67,1.3058
12,56.18,1.2329
13,57.20,1.2039
14,59.85,1.1382
15,62.13,1.0785
16,64.20,1.0167
17,65.73,0.9719
18,66.76,0.9404
19,67.58,0.9211
20,67.37,0.9143
21,69.89,0.8676
22,70.48,0.8356
23,71.01,0.8352
24,72.30,0.8100
25,73.11,0.7873
26,74.20,0.7484
27,75.03,0.7314
28,75.07,0.7210
29,75.90,0.7057
30,75.11,0.7253
31,76.87,0.6774
32,76.31,0.7056
33,78.17,0.6434
34,77.81,0.6557
35,79.01,0.6233
36,78.08,0.6460
37,79.26,0.6002
38,78.93,0.6122
39,79.26,0.6145
40,79.71,0.5950
41,79.52,0.6183
42,79.38,0.6011
43,80.65,0.5796
44,80.58,0.5629
45,81.65,0.5507
46,80.68,0.5623
47,82.04,0.5480
48,81.50,0.5493
49,81.25,0.5546
50,81.69,0.5570
51,81.49,0.5535
52,81.83,0.5478
53,81.96,0.5419
54,82.13,0.5320
55,82.02,0.5444
56,81.88,0.5480
57,82.29,0.5441
58,82.69,0.5372
59,82.55,0.5178
60,83.21,0.5074
61,82.96,0.5164
62,83.37,0.4976
63,84.30,0.4872
64,83.69,0.5066
65,83.36,0.5015
66,84.43,0.4789
67,84.16,0.4868
68,84.53,0.4793
69,83.44,0.4932
70,84.65,0.4896
71,84.05,0.4934
72,83.90,0.5002
73,84.58,0.4854
74,84.96,0.4764
75,84.51,0.4832
76,84.35,0.4937
77,84.47,0.4927
78,84.39,0.4800
79,84.40,0.4965
80,85.18,0.4668
81,85.16,0.4676
82,85.11,0.4665
83,85.23,0.4614
84,85.19,0.4637
85,85.30,0.4636
86,85.04,0.4643
87,85.39,0.4529
88,84.95,0.4774
89,85.56,0.4557
90,85.32,0.4585
91,85.75,0.4408
92,86.09,0.4384
93,85.40,0.4688
94,85.85,0.4523
95,85.23,0.4607
96,85.56,0.4641
97,85.89,0.4521
98,85.62,0.4728
99,85.69,0.4590
100,85.79,0.4660
101,85.95,0.4506
102,86.43,0.4524
103,86.10,0.4554
104,86.05,0.4390
105,86.30,0.4477
106,86.00,0.4483
107,85.96,0.4492
108,86.30,0.4337
109,86.40,0.4360
110,86.53,0.4570
111,86.22,0.4276
112,86.53,0.4541
113,86.00,0.4352
114,87.09,0.4472
115,86.45,0.4466
116,86.91,0.4479
117,86.14,0.4524
118,86.83,0.4530
119,86.40,0.4339
120,87.02,0.4496
121,85.84,0.4665
122,86.27,0.4697
123,86.46,0.4583
124,86.90,0.4500
125,86.55,0.4638
126,86.55,0.4527
127,87.03,0.4484
128,86.96,0.4499
129,86.78,0.4521
130,86.40,0.4488
131,87.18,0.4368
132,86.97,0.4455
133,86.78,0.4712
134,86.54,0.4514
135,87.18,0.4715
136,86.39,0.4402
137,86.40,0.5011
138,86.44,0.4402
139,86.95,0.4767
140,86.85,0.4319
141,86.77,0.4918
142,86.82,0.4465
143,86.83,0.5025
144,86.33,0.4601
145,86.89,0.5024
146,87.06,0.4323
147,87.38,0.4992
148,86.78,0.4092
149,87.20,0.5130
150,86.93,0.4208
151,87.17,0.5466
152,87.12,0.4144
153,87.08,0.5921
154,87.16,0.4010
155,87.68,0.5517
156,87.20,0.4103
157,87.51,0.5822
158,86.98,0.4006
159,87.05,0.5924
160,87.27,0.4015
161,87.36,0.6300
162,87.01,0.4019
163,87.12,0.6157
164,86.95,0.4160
165,87.77,0.5955
166,86.32,0.4323
167,87.03,0.6434
168,86.29,0.4258
169,87.33,0.6831
170,86.43,0.4160
171,87.30,0.7512
172,86.13,0.4238
173,87.36,0.6917
174,86.29,0.4234
175,86.99,0.7813
176,85.88,0.4305
177,87.41,0.7106
178,86.17,0.4288
179,87.46,0.7250
180,85.91,0.4375
181,86.91,0.7356
182,85.74,0.4421
183,86.69,0.8069
184,85.73,0.4381
185,87.52,0.7659
186,85.04,0.4708
187,86.71,0.7716
188,86.17,0.4458
189,87.06,0.7312
190,85.85,0.4607
191,86.72,0.7244
192,85.87,0.4577
193,87.32,0.7002
194,86.05,0.4651
195,87.58,0.6544
196,86.62,0.4310
197,87.75,0.6597
198,86.70,0.4374
199,87.26,0.6940
200,86.90,0.4219
