Round,Accuracy,Average Loss
1,10.00,2.3027
2,22.35,2.2569
3,23.99,1.9056
4,26.00,1.8374
5,27.02,1.8116
6,29.47,1.7614
7,34.70,1.6867
8,39.33,1.5843
9,41.05,1.5022
10,45.99,1.4266
11,48.44,1.3666
12,51.69,1.2937
13,54.13,1.2389
14,56.48,1.1829
15,58.93,1.1286
16,60.71,1.0784
17,61.92,1.0272
18,64.05,0.9914
19,66.56,0.9517
20,67.26,0.9193
21,67.64,0.8998
22,69.40,0.8667
23,69.65,0.8469
24,71.32,0.8221
25,71.95,0.7984
26,72.32,0.7843
27,73.02,0.7664
28,74.43,0.7342
29,74.84,0.7225
30,75.63,0.7078
31,75.75,0.6933
32,76.32,0.6846
33,76.95,0.6651
34,77.52,0.6477
35,78.25,0.6375
36,78.60,0.6278
37,78.93,0.6222
38,79.70,0.6050
39,79.66,0.5938
40,79.91,0.5971
41,79.83,0.5893
42,80.45,0.5775
43,80.92,0.5640
44,81.53,0.5607
45,80.84,0.5595
46,81.32,0.5470
47,81.21,0.5496
48,81.80,0.5416
49,81.97,0.5327
50,82.11,0.5330
