Round,Accuracy,Average Loss
1,24.15,2.0735
2,30.97,1.8840
3,35.77,1.7642
4,38.70,1.6852
5,40.05,1.6220
6,42.30,1.5821
7,43.40,1.5487
8,44.22,1.5160
9,45.60,1.4918
10,46.33,1.4667
11,47.06,1.4503
12,48.28,1.4251
13,49.20,1.4041
14,49.18,1.3922
15,50.06,1.3767
16,50.31,1.3624
17,51.53,1.3503
18,52.26,1.3306
19,52.86,1.3266
20,52.34,1.3188
21,53.11,1.3069
22,53.21,1.2969
23,54.29,1.2810
24,54.12,1.2696
25,54.21,1.2716
26,54.32,1.2692
27,54.86,1.2554
28,55.29,1.2495
29,55.45,1.2445
30,56.20,1.2243
31,55.79,1.2248
32,55.96,1.2280
33,56.92,1.2118
34,56.77,1.2060
35,57.21,1.2037
36,56.81,1.2051
37,57.06,1.1973
38,57.52,1.1907
39,57.25,1.1876
40,57.95,1.1746
41,57.15,1.1807
42,58.06,1.1729
43,58.21,1.1679
44,58.20,1.1678
45,58.22,1.1644
46,58.88,1.1534
47,58.49,1.1512
48,58.98,1.1506
49,58.78,1.1497
50,59.34,1.1381
51,59.64,1.1318
52,59.39,1.1333
53,59.99,1.1267
54,59.65,1.1278
55,60.07,1.1191
56,59.64,1.1220
57,60.44,1.1214
58,60.51,1.1153
59,61.14,1.1015
60,60.38,1.1094
61,60.91,1.1016
62,61.30,1.0982
63,60.95,1.0910
64,60.39,1.0995
65,60.69,1.0994
66,61.07,1.0945
67,62.00,1.0728
68,61.57,1.0874
69,61.10,1.0822
70,61.43,1.0804
71,61.37,1.0797
72,62.34,1.0647
73,62.58,1.0672
74,62.22,1.0579
75,62.21,1.0662
76,62.04,1.0660
77,62.12,1.0717
78,62.85,1.0574
79,62.43,1.0613
80,63.20,1.0488
81,63.01,1.0477
82,62.94,1.0447
83,62.79,1.0466
84,62.52,1.0520
85,63.23,1.0435
86,63.68,1.0362
87,63.53,1.0382
88,63.40,1.0337
89,62.52,1.0438
90,63.14,1.0376
91,63.31,1.0362
92,63.28,1.0298
93,63.99,1.0199
94,63.66,1.0274
95,63.96,1.0171
96,63.67,1.0311
97,64.27,1.0147
98,63.98,1.0198
99,63.59,1.0290
100,64.60,1.0132
101,64.50,1.0109
102,64.19,1.0147
103,64.77,1.0113
104,64.16,1.0115
105,65.00,1.0049
106,64.08,1.0079
107,64.75,0.9992
108,64.36,1.0041
109,65.21,0.9957
110,64.69,1.0011
111,65.02,0.9902
112,64.60,0.9977
113,64.88,0.9943
114,65.24,0.9959
115,64.72,1.0008
116,65.07,0.9961
117,64.76,0.9967
118,65.05,0.9894
119,65.35,0.9893
120,64.98,0.9884
121,65.65,0.9816
122,65.24,0.9831
123,65.85,0.9796
124,65.42,0.9804
125,65.87,0.9729
