Round,Accuracy,Average Loss
1,8.11,2.3074
2,8.15,2.3073
3,8.12,2.3071
4,8.04,2.3068
5,7.99,2.3064
6,7.98,2.3059
7,8.11,2.3051
8,8.20,2.3044
9,8.38,2.3034
10,8.70,2.3020
11,9.03,2.3004
12,9.58,2.2986
13,9.96,2.2965
14,10.76,2.2942
15,11.83,2.2915
16,13.40,2.2881
17,14.81,2.2842
18,16.30,2.2798
19,19.73,2.2748
20,22.77,2.2693
21,24.70,2.2629
22,26.12,2.2561
23,28.34,2.2484
24,29.39,2.2401
25,30.16,2.2310
26,30.92,2.2210
27,31.76,2.2103
28,33.05,2.1986
29,34.77,2.1858
30,36.94,2.1725
31,37.97,2.1584
32,39.62,2.1433
33,41.18,2.1273
34,42.76,2.1107
35,44.75,2.0929
36,47.44,2.0745
37,49.20,2.0555
38,51.13,2.0358
39,53.02,2.0148
40,55.32,1.9935
41,56.34,1.9715
42,57.70,1.9490
43,59.24,1.9257
44,60.19,1.9020
45,60.57,1.8780
46,61.29,1.8539
47,62.13,1.8287
48,62.45,1.8033
49,63.05,1.7779
50,63.15,1.7521
51,63.29,1.7269
52,64.23,1.7012
53,64.99,1.6746
54,65.10,1.6497
55,66.11,1.6244
56,66.56,1.5986
57,66.63,1.5740
58,67.90,1.5474
59,68.51,1.5223
60,68.74,1.4982
61,68.68,1.4751
62,69.32,1.4504
63,69.48,1.4280
64,69.26,1.4058
65,69.46,1.3840
66,69.28,1.3610
67,69.68,1.3401
68,70.28,1.3193
69,70.28,1.2986
70,70.61,1.2774
71,70.50,1.2590
72,70.60,1.2398
73,70.74,1.2225
74,70.46,1.2048
75,70.81,1.1869
76,70.53,1.1725
77,70.73,1.1562
78,70.89,1.1406
79,70.94,1.1258
80,70.96,1.1109
81,70.94,1.0962
82,71.07,1.0811
83,71.10,1.0685
84,71.25,1.0549
85,71.38,1.0420
86,71.51,1.0297
87,71.30,1.0208
88,71.69,1.0071
89,71.34,0.9989
90,71.77,0.9864
91,71.85,0.9764
92,71.96,0.9647
93,72.02,0.9555
94,72.17,0.9449
95,71.94,0.9383
96,72.08,0.9297
97,72.12,0.9216
98,72.53,0.9108
99,72.42,0.9036
100,72.60,0.8952
101,72.43,0.8912
102,72.24,0.8846
103,72.42,0.8758
104,72.46,0.8707
105,72.64,0.8635
106,72.55,0.8570
107,73.02,0.8467
108,72.77,0.8438
109,73.00,0.8363
110,72.85,0.8338
111,73.18,0.8258
112,73.26,0.8194
113,73.36,0.8138
114,73.39,0.8082
115,73.34,0.8054
116,73.32,0.7998
117,73.37,0.7953
118,73.44,0.7910
119,73.67,0.7865
120,73.36,0.7852
121,73.67,0.7789
122,73.62,0.7757
123,73.55,0.7722
124,73.78,0.7659
125,73.86,0.7629
126,73.92,0.7595
127,74.00,0.7561
128,74.03,0.7507
129,74.05,0.7484
130,74.19,0.7441
131,74.18,0.7424
132,74.24,0.7378
133,74.17,0.7367
134,74.49,0.7304
135,74.38,0.7284
136,74.37,0.7278
137,74.64,0.7222
138,74.59,0.7213
139,74.79,0.7164
140,74.76,0.7141
141,74.74,0.7132
142,74.74,0.7120
143,74.85,0.7080
144,74.94,0.7053
145,75.06,0.7018
146,75.13,0.7004
147,75.16,0.6990
148,75.19,0.6965
149,75.36,0.6920
150,75.26,0.6907
151,75.46,0.6882
152,75.40,0.6875
153,75.43,0.6853
154,75.44,0.6832
155,75.57,0.6798
156,75.69,0.6774
157,75.72,0.6757
158,75.70,0.6733
159,75.73,0.6709
160,75.78,0.6709
161,75.89,0.6671
162,75.99,0.6648
163,75.98,0.6638
164,76.10,0.6621
165,76.20,0.6595
166,76.27,0.6579
167,76.31,0.6563
168,76.44,0.6535
169,76.40,0.6524
170,76.45,0.6510
171,76.46,0.6488
172,76.47,0.6472
173,76.55,0.6468
174,76.64,0.6441
175,76.47,0.6449
176,76.68,0.6416
177,76.77,0.6407
178,76.81,0.6393
179,76.82,0.6356
180,76.88,0.6350
181,76.84,0.6342
182,76.96,0.6338
183,76.92,0.6323
184,77.10,0.6312
185,77.15,0.6282
186,77.09,0.6285
187,77.05,0.6271
188,77.21,0.6263
189,77.26,0.6228
190,77.22,0.6224
191,77.24,0.6213
192,77.29,0.6195
193,77.27,0.6170
194,77.29,0.6181
195,77.28,0.6171
196,77.44,0.6136
197,77.35,0.6141
198,77.51,0.6118
199,77.58,0.6116
200,77.58,0.6100
