Round,Accuracy,Average Loss
1,10.00,2.3023
2,10.00,2.3015
3,10.00,2.3003
4,10.00,2.2991
5,10.00,2.2975
6,10.00,2.2957
7,10.00,2.2936
8,10.00,2.2911
9,9.99,2.2880
10,9.99,2.2847
11,10.16,2.2806
12,10.29,2.2761
13,10.50,2.2712
14,10.78,2.2654
15,11.08,2.2592
16,11.45,2.2520
17,12.02,2.2441
18,12.78,2.2354
19,14.52,2.2255
20,17.58,2.2153
21,22.93,2.2037
22,27.00,2.1914
23,31.56,2.1781
24,35.15,2.1639
25,38.42,2.1488
26,41.88,2.1327
27,43.78,2.1161
28,45.65,2.0985
29,46.85,2.0799
30,48.18,2.0606
31,49.18,2.0402
32,49.69,2.0193
33,50.01,1.9974
34,50.66,1.9753
35,51.12,1.9517
36,51.64,1.9278
37,52.10,1.9027
38,53.47,1.8784
39,53.98,1.8531
40,55.33,1.8278
41,56.50,1.8017
42,57.30,1.7755
43,58.41,1.7494
44,58.58,1.7245
45,59.97,1.6964
46,60.94,1.6715
47,62.49,1.6436
48,62.42,1.6188
49,62.76,1.5922
50,63.94,1.5668
51,63.61,1.5421
52,64.47,1.5171
53,64.97,1.4914
54,65.10,1.4683
55,65.88,1.4422
56,65.97,1.4193
57,66.70,1.3967
58,67.06,1.3725
59,67.26,1.3514
60,67.52,1.3299
61,67.82,1.3094
62,68.26,1.2893
63,68.68,1.2671
64,68.50,1.2493
65,69.25,1.2292
66,69.21,1.2117
67,69.50,1.1948
68,69.30,1.1761
69,69.66,1.1591
70,70.38,1.1423
71,70.54,1.1271
72,70.79,1.1121
73,70.82,1.0966
74,71.02,1.0817
75,71.28,1.0678
76,71.04,1.0548
77,71.22,1.0425
78,71.52,1.0288
79,71.65,1.0162
80,71.81,1.0051
81,71.93,0.9932
82,72.03,0.9822
83,72.66,0.9704
84,72.51,0.9614
85,72.70,0.9502
86,73.06,0.9411
87,73.15,0.9303
88,73.40,0.9208
89,73.24,0.9127
90,73.47,0.9057
91,73.57,0.8969
92,73.52,0.8889
93,73.86,0.8801
94,73.89,0.8725
95,73.88,0.8647
96,73.94,0.8587
97,74.00,0.8518
98,74.30,0.8446
99,74.34,0.8381
100,74.29,0.8319
101,74.41,0.8271
102,74.49,0.8213
103,74.73,0.8143
104,74.75,0.8098
105,74.64,0.8049
106,74.80,0.8000
107,74.81,0.7958
108,74.97,0.7913
109,74.91,0.7864
110,75.07,0.7810
111,74.99,0.7771
112,75.14,0.7735
113,75.18,0.7698
114,75.21,0.7649
115,75.24,0.7621
116,75.21,0.7576
117,75.17,0.7540
118,75.23,0.7505
119,75.28,0.7474
120,75.29,0.7443
121,75.38,0.7420
122,75.49,0.7385
123,75.47,0.7351
124,75.41,0.7316
125,75.40,0.7290
126,75.60,0.7265
127,75.45,0.7243
128,75.61,0.7209
129,75.48,0.7186
130,75.61,0.7160
131,75.68,0.7133
132,75.72,0.7112
133,75.71,0.7087
134,75.71,0.7063
135,75.74,0.7041
136,75.74,0.7021
137,75.72,0.7010
138,75.74,0.6973
139,75.81,0.6964
140,75.84,0.6942
141,75.84,0.6922
142,75.92,0.6900
143,75.82,0.6891
144,75.79,0.6875
145,75.91,0.6848
146,75.99,0.6825
147,76.01,0.6809
148,76.05,0.6800
149,76.02,0.6786
150,76.03,0.6771
151,76.10,0.6753
152,76.13,0.6724
153,76.02,0.6728
154,76.10,0.6707
155,76.16,0.6692
156,76.13,0.6681
157,76.20,0.6668
158,76.16,0.6658
159,76.12,0.6650
160,76.25,0.6641
161,76.18,0.6624
162,76.29,0.6611
163,76.29,0.6591
164,76.36,0.6569
165,76.41,0.6555
166,76.23,0.6557
167,76.25,0.6529
168,76.28,0.6534
169,76.26,0.6524
170,76.28,0.6512
171,76.46,0.6495
172,76.44,0.6489
173,76.35,0.6493
174,76.54,0.6460
175,76.59,0.6451
176,76.45,0.6457
177,76.51,0.6440
178,76.52,0.6428
179,76.56,0.6416
180,76.56,0.6406
181,76.72,0.6395
182,76.74,0.6389
183,76.84,0.6368
184,76.63,0.6362
185,76.78,0.6356
186,76.79,0.6337
187,76.84,0.6330
188,76.79,0.6313
189,76.81,0.6313
190,76.84,0.6302
191,76.84,0.6295
192,76.92,0.6277
193,76.89,0.6273
194,76.96,0.6267
195,76.92,0.6254
196,76.97,0.6254
197,76.94,0.6249
198,76.98,0.6232
199,76.95,0.6240
200,76.93,0.6226
