Round,Accuracy,Average Loss
1,9.99,2.3048
2,10.00,2.3044
3,10.03,2.3037
4,10.26,2.3027
5,10.66,2.3014
6,11.86,2.2996
7,14.28,2.2973
8,14.80,2.2943
9,15.26,2.2901
10,15.83,2.2850
11,17.35,2.2785
12,18.55,2.2707
13,20.79,2.2610
14,21.88,2.2500
15,22.53,2.2364
16,22.68,2.2222
17,24.67,2.2044
18,27.80,2.1854
19,29.14,2.1642
20,31.48,2.1408
21,31.89,2.1162
22,33.05,2.0897
23,34.62,2.0615
24,36.37,2.0311
25,38.57,1.9994
26,40.60,1.9669
27,42.19,1.9336
28,46.34,1.8970
29,49.59,1.8590
30,51.75,1.8224
31,53.04,1.7869
32,55.70,1.7497
33,56.52,1.7119
34,57.92,1.6754
35,59.42,1.6388
36,60.99,1.6013
37,61.45,1.5635
38,62.46,1.5293
39,63.26,1.4931
40,63.92,1.4574
41,64.19,1.4262
42,64.07,1.3972
43,65.31,1.3629
44,65.51,1.3352
45,65.47,1.3046
46,66.95,1.2740
47,66.37,1.2470
48,66.50,1.2265
49,67.08,1.1976
50,66.77,1.1775
51,66.98,1.1538
52,67.58,1.1303
53,67.56,1.1097
54,67.83,1.0890
55,68.08,1.0688
56,68.23,1.0523
57,68.51,1.0319
58,69.02,1.0160
59,68.50,1.0046
60,69.21,0.9867
61,69.35,0.9699
62,69.91,0.9532
63,69.50,0.9448
64,69.56,0.9345
65,70.08,0.9190
66,70.63,0.9045
67,70.12,0.9010
68,70.31,0.8915
69,70.38,0.8811
70,70.97,0.8664
71,70.97,0.8586
72,70.67,0.8544
73,71.09,0.8430
74,71.06,0.8364
75,71.12,0.8304
76,71.45,0.8212
77,71.81,0.8110
78,71.53,0.8100
79,71.98,0.8012
80,72.18,0.7922
81,72.19,0.7870
82,72.34,0.7799
83,72.14,0.7802
84,72.41,0.7740
85,72.73,0.7645
86,72.60,0.7625
87,72.89,0.7561
88,73.12,0.7505
89,73.35,0.7458
90,73.41,0.7417
91,73.26,0.7399
92,73.52,0.7355
93,73.47,0.7300
94,73.82,0.7241
95,73.57,0.7259
96,73.97,0.7167
97,73.85,0.7171
98,73.93,0.7144
99,74.13,0.7093
100,74.09,0.7081
101,74.11,0.7091
102,74.48,0.6988
103,74.55,0.6973
104,74.40,0.6971
105,74.33,0.6951
106,74.67,0.6913
107,74.60,0.6895
108,74.67,0.6886
109,75.00,0.6815
110,74.94,0.6790
111,75.04,0.6770
112,74.98,0.6770
113,75.13,0.6747
114,75.33,0.6713
115,75.33,0.6681
116,75.39,0.6661
117,75.44,0.6634
118,75.42,0.6626
119,75.53,0.6604
120,75.47,0.6624
121,75.55,0.6614
122,75.55,0.6583
123,75.95,0.6511
124,75.67,0.6551
125,75.93,0.6518
126,76.02,0.6449
127,76.18,0.6403
128,75.93,0.6425
129,76.24,0.6397
130,76.13,0.6410
131,76.33,0.6366
132,76.35,0.6366
133,76.44,0.6319
134,76.39,0.6339
135,76.36,0.6366
136,76.35,0.6363
137,76.41,0.6340
138,76.62,0.6263
139,76.63,0.6262
140,76.59,0.6274
141,76.69,0.6228
142,76.60,0.6252
143,76.61,0.6239
144,76.95,0.6170
145,77.05,0.6142
146,77.07,0.6148
147,76.96,0.6160
148,77.23,0.6112
149,77.15,0.6128
150,77.28,0.6054
151,77.13,0.6077
152,77.13,0.6090
153,77.21,0.6093
154,77.31,0.6062
155,77.49,0.6007
156,77.39,0.6012
157,77.47,0.6030
158,77.52,0.6046
159,77.69,0.5977
160,77.65,0.5984
161,77.77,0.5955
162,77.78,0.5963
163,77.81,0.5952
164,78.15,0.5884
165,78.12,0.5911
166,77.87,0.5922
167,78.16,0.5875
168,78.03,0.5869
169,78.23,0.5872
170,78.17,0.5861
171,78.26,0.5835
172,78.21,0.5826
173,78.40,0.5802
174,78.36,0.5786
175,78.45,0.5805
176,78.41,0.5765
177,78.48,0.5773
178,78.48,0.5765
179,78.53,0.5752
180,78.57,0.5760
181,78.62,0.5737
182,78.60,0.5734
183,78.74,0.5740
184,78.77,0.5720
185,78.92,0.5695
186,78.89,0.5684
187,78.80,0.5689
188,78.94,0.5674
189,79.04,0.5649
190,79.09,0.5643
191,79.03,0.5659
192,79.17,0.5610
193,79.25,0.5597
194,79.28,0.5603
195,79.17,0.5601
196,79.36,0.5575
197,79.27,0.5558
198,79.42,0.5555
199,79.51,0.5549
200,79.53,0.5541
