Round,Accuracy,Average Loss
1,10.00,2.3039
2,10.00,2.3032
3,10.02,2.3020
4,10.18,2.3003
5,11.61,2.2982
6,13.65,2.2955
7,15.96,2.2922
8,17.97,2.2882
9,18.67,2.2832
10,19.12,2.2775
11,20.25,2.2707
12,22.41,2.2626
13,24.39,2.2533
14,28.58,2.2427
15,31.94,2.2309
16,34.99,2.2173
17,38.62,2.2024
18,41.61,2.1858
19,43.59,2.1676
20,46.46,2.1484
21,48.42,2.1270
22,50.98,2.1032
23,52.76,2.0787
24,54.14,2.0518
25,55.22,2.0239
26,56.05,1.9944
27,57.09,1.9638
28,58.02,1.9321
29,58.58,1.8995
30,58.88,1.8665
31,60.11,1.8320
32,61.20,1.7975
33,61.60,1.7627
34,63.51,1.7269
35,64.36,1.6925
36,65.36,1.6578
37,66.54,1.6213
38,67.02,1.5891
39,68.29,1.5533
40,68.51,1.5198
41,68.81,1.4872
42,69.69,1.4547
43,70.09,1.4219
44,70.04,1.3913
45,71.10,1.3603
46,71.00,1.3314
47,70.93,1.3051
48,71.14,1.2764
49,71.35,1.2504
50,71.83,1.2241
51,71.68,1.2008
52,71.95,1.1755
53,72.10,1.1532
54,72.38,1.1314
55,72.27,1.1103
56,72.62,1.0909
57,72.26,1.0701
58,72.70,1.0506
59,72.60,1.0338
60,72.91,1.0169
61,72.85,1.0008
62,73.01,0.9848
63,73.21,0.9704
64,73.06,0.9560
65,72.95,0.9429
66,73.19,0.9316
67,73.10,0.9185
68,73.34,0.9061
69,73.09,0.8961
70,73.09,0.8837
71,73.35,0.8746
72,73.58,0.8642
73,73.88,0.8550
74,73.37,0.8465
75,73.25,0.8388
76,73.62,0.8300
77,73.72,0.8221
78,73.57,0.8143
79,73.78,0.8077
80,73.65,0.8017
81,73.83,0.7941
82,73.79,0.7888
83,73.96,0.7816
84,73.96,0.7767
85,74.03,0.7723
86,74.00,0.7656
87,74.00,0.7619
88,74.08,0.7564
89,74.03,0.7527
90,74.19,0.7481
91,74.13,0.7430
92,74.19,0.7395
93,74.18,0.7353
94,74.21,0.7321
95,74.35,0.7273
96,74.45,0.7242
97,74.52,0.7202
98,74.50,0.7192
99,74.36,0.7140
100,74.58,0.7126
101,74.51,0.7084
102,74.57,0.7080
103,74.80,0.7028
104,74.65,0.7024
105,74.82,0.6984
106,74.72,0.6956
107,75.01,0.6916
108,74.74,0.6911
109,75.01,0.6885
110,74.96,0.6872
111,75.08,0.6841
112,75.17,0.6813
113,75.00,0.6812
114,75.17,0.6789
115,75.14,0.6758
116,75.26,0.6723
117,75.07,0.6723
118,75.32,0.6693
119,75.25,0.6683
120,75.43,0.6653
121,75.23,0.6650
122,75.45,0.6614
123,75.40,0.6605
124,75.47,0.6584
125,75.54,0.6573
126,75.51,0.6564
127,75.47,0.6552
128,75.58,0.6524
129,75.51,0.6524
130,75.70,0.6503
131,75.71,0.6489
132,75.81,0.6454
133,75.73,0.6450
134,75.90,0.6430
135,75.73,0.6445
136,75.90,0.6415
137,75.82,0.6414
138,75.94,0.6390
139,75.95,0.6383
140,75.96,0.6367
141,75.90,0.6371
142,76.02,0.6353
143,76.14,0.6324
144,76.15,0.6313
145,76.18,0.6290
146,76.18,0.6298
147,76.16,0.6285
148,76.27,0.6265
149,76.27,0.6260
150,76.23,0.6257
151,76.43,0.6245
152,76.43,0.6220
153,76.44,0.6219
154,76.38,0.6216
155,76.50,0.6201
156,76.72,0.6193
157,76.60,0.6174
158,76.59,0.6187
159,76.82,0.6153
160,76.83,0.6134
161,76.95,0.6147
162,76.81,0.6128
163,76.96,0.6113
164,77.11,0.6092
165,77.07,0.6084
166,76.93,0.6080
167,77.07,0.6084
168,77.10,0.6072
169,76.96,0.6063
170,77.12,0.6047
171,77.32,0.6038
172,77.21,0.6024
173,77.29,0.6037
174,77.44,0.6020
175,77.49,0.6002
176,77.60,0.6000
177,77.50,0.5997
178,77.62,0.5974
179,77.56,0.5983
180,77.80,0.5956
181,77.77,0.5960
182,77.76,0.5951
183,77.77,0.5943
184,77.90,0.5936
185,77.91,0.5925
186,77.96,0.5916
187,78.00,0.5898
188,78.04,0.5902
189,78.06,0.5881
190,78.17,0.5871
191,78.18,0.5873
192,78.20,0.5860
193,78.31,0.5851
194,78.11,0.5836
195,78.37,0.5819
196,78.36,0.5820
197,78.30,0.5814
198,78.45,0.5800
199,78.40,0.5799
200,78.48,0.5788
