Round,Accuracy,Average Loss
1,10.00,2.3050
2,10.01,2.3049
3,10.00,2.3047
4,10.01,2.3043
5,10.07,2.3040
6,10.34,2.3034
7,10.51,2.3028
8,10.98,2.3022
9,11.68,2.3013
10,12.18,2.3002
11,12.68,2.2991
12,12.77,2.2976
13,12.75,2.2959
14,12.83,2.2939
15,13.20,2.2915
16,12.91,2.2890
17,13.49,2.2858
18,13.81,2.2824
19,15.17,2.2783
20,15.77,2.2738
21,16.69,2.2686
22,18.01,2.2630
23,18.38,2.2565
24,19.79,2.2494
25,21.86,2.2416
26,23.41,2.2333
27,23.13,2.2246
28,26.01,2.2141
29,29.60,2.2032
30,28.80,2.1921
31,31.97,2.1793
32,32.29,2.1662
33,34.77,2.1521
34,35.46,2.1379
35,36.56,2.1227
36,39.57,2.1061
37,41.07,2.0904
38,41.58,2.0735
39,45.34,2.0541
40,46.40,2.0366
41,47.85,2.0167
42,49.10,1.9976
43,49.84,1.9773
44,52.47,1.9558
45,52.07,1.9358
46,54.43,1.9142
47,55.13,1.8913
48,55.99,1.8700
49,56.34,1.8468
50,57.45,1.8246
51,57.62,1.8003
52,59.12,1.7771
53,59.40,1.7543
54,59.33,1.7323
55,60.79,1.7069
56,60.96,1.6854
57,61.26,1.6607
58,61.72,1.6380
59,62.86,1.6144
60,62.42,1.5927
61,63.12,1.5674
62,63.85,1.5451
63,63.21,1.5236
64,64.14,1.5000
65,64.57,1.4791
66,64.17,1.4585
67,64.52,1.4380
68,65.24,1.4149
69,65.14,1.3958
70,66.20,1.3753
71,65.42,1.3564
72,65.88,1.3361
73,66.62,1.3158
74,66.42,1.3005
75,66.78,1.2804
76,66.50,1.2633
77,66.97,1.2473
78,67.43,1.2285
79,67.40,1.2134
80,67.20,1.1968
81,67.81,1.1801
82,67.73,1.1665
83,67.30,1.1518
84,67.70,1.1383
85,67.91,1.1239
86,68.38,1.1089
87,67.91,1.0979
88,68.79,1.0831
89,68.31,1.0721
90,68.72,1.0582
91,68.93,1.0470
92,68.89,1.0355
93,68.99,1.0249
94,69.46,1.0137
95,69.28,1.0034
96,69.30,0.9918
97,69.51,0.9829
98,69.64,0.9716
99,69.66,0.9627
100,69.84,0.9544
101,69.63,0.9473
102,69.84,0.9365
103,69.79,0.9305
104,69.99,0.9198
105,69.81,0.9130
106,70.19,0.9045
107,70.17,0.8982
108,70.46,0.8892
109,70.59,0.8826
110,70.35,0.8769
111,70.94,0.8676
112,70.77,0.8622
113,70.92,0.8559
114,71.14,0.8490
115,71.13,0.8443
116,71.14,0.8398
117,71.32,0.8336
118,71.15,0.8276
119,71.44,0.8221
120,71.60,0.8163
121,71.73,0.8117
122,71.74,0.8065
123,71.59,0.8032
124,71.97,0.7963
125,71.79,0.7927
126,72.20,0.7877
127,72.12,0.7848
128,72.01,0.7811
129,72.19,0.7778
130,72.29,0.7721
131,72.29,0.7686
132,72.37,0.7647
133,72.39,0.7611
134,72.79,0.7565
135,72.60,0.7534
136,72.53,0.7524
137,72.68,0.7483
138,73.18,0.7428
139,72.91,0.7417
140,73.39,0.7358
141,73.11,0.7350
142,73.18,0.7315
143,73.31,0.7276
144,73.63,0.7227
145,73.62,0.7230
146,73.66,0.7190
147,73.78,0.7157
148,73.50,0.7159
149,73.66,0.7117
150,73.69,0.7091
151,73.87,0.7077
152,73.92,0.7041
153,74.26,0.7013
154,73.89,0.7012
155,74.18,0.6985
156,74.43,0.6939
157,74.22,0.6930
158,74.32,0.6907
159,74.53,0.6881
160,74.48,0.6863
161,74.58,0.6835
162,74.34,0.6848
163,74.60,0.6813
164,74.64,0.6785
165,74.81,0.6757
166,74.62,0.6767
167,74.92,0.6713
168,74.82,0.6731
169,74.84,0.6709
170,74.90,0.6687
171,74.94,0.6668
172,74.91,0.6664
173,75.16,0.6629
174,75.25,0.6612
175,75.18,0.6613
176,75.28,0.6592
177,75.41,0.6547
178,75.30,0.6539
179,75.41,0.6544
180,75.28,0.6521
181,75.66,0.6504
182,75.65,0.6483
183,75.63,0.6475
184,75.79,0.6463
185,75.66,0.6461
186,75.83,0.6428
187,75.75,0.6431
188,75.96,0.6401
189,76.06,0.6389
190,75.79,0.6399
191,75.86,0.6383
192,76.05,0.6349
193,76.17,0.6353
194,76.10,0.6335
195,76.19,0.6306
196,76.17,0.6311
197,76.10,0.6302
198,76.28,0.6282
199,76.30,0.6268
200,76.23,0.6275
