Round,Accuracy,Average Loss
1,9.82,2.3063
2,9.96,2.3062
3,10.08,2.3060
4,10.10,2.3058
5,10.26,2.3055
6,11.13,2.3052
7,11.62,2.3049
8,11.81,2.3046
9,12.06,2.3041
10,12.06,2.3036
11,12.05,2.3031
12,12.08,2.3024
13,12.06,2.3017
14,12.32,2.3008
15,12.50,2.2998
16,13.89,2.2985
17,13.94,2.2972
18,14.79,2.2956
19,16.12,2.2939
20,18.06,2.2918
21,20.12,2.2894
22,21.84,2.2868
23,23.90,2.2838
24,24.96,2.2805
25,27.39,2.2768
26,28.93,2.2725
27,30.38,2.2677
28,32.16,2.2622
29,33.40,2.2558
30,34.08,2.2486
31,35.13,2.2411
32,35.81,2.2328
33,36.74,2.2234
34,38.38,2.2136
35,41.20,2.2028
36,41.88,2.1915
37,42.99,2.1790
38,43.86,2.1654
39,44.59,2.1511
40,45.63,2.1361
41,46.07,2.1203
42,46.98,2.1034
43,48.39,2.0860
44,48.94,2.0671
45,49.76,2.0478
46,52.45,2.0276
47,53.08,2.0063
48,54.48,1.9851
49,53.26,1.9632
50,57.46,1.9399
51,57.62,1.9170
52,59.18,1.8927
53,59.76,1.8686
54,60.70,1.8433
55,60.73,1.8190
56,61.66,1.7923
57,61.63,1.7684
58,62.93,1.7428
59,62.56,1.7171
60,63.20,1.6914
61,62.80,1.6656
62,63.79,1.6403
63,64.73,1.6149
64,64.90,1.5896
65,65.06,1.5651
66,63.93,1.5410
67,64.86,1.5159
68,64.57,1.4930
69,65.38,1.4688
70,65.82,1.4461
71,66.04,1.4211
72,66.21,1.4023
73,67.21,1.3781
74,66.63,1.3566
75,66.22,1.3353
76,66.74,1.3166
77,67.21,1.2950
78,67.52,1.2744
79,67.35,1.2556
80,67.89,1.2379
81,67.45,1.2208
82,68.01,1.2006
83,67.85,1.1850
84,68.26,1.1679
85,68.58,1.1521
86,68.12,1.1370
87,68.67,1.1188
88,68.72,1.1051
89,69.93,1.0887
90,69.39,1.0753
91,68.90,1.0636
92,69.21,1.0497
93,69.39,1.0361
94,69.73,1.0237
95,69.81,1.0121
96,69.20,1.0020
97,69.58,0.9924
98,70.11,0.9783
99,70.83,0.9666
100,70.40,0.9561
101,70.35,0.9472
102,70.46,0.9380
103,71.07,0.9277
104,70.99,0.9191
105,70.25,0.9138
106,70.69,0.9050
107,71.42,0.8942
108,71.10,0.8872
109,70.58,0.8826
110,71.56,0.8720
111,70.87,0.8706
112,71.68,0.8600
113,71.73,0.8531
114,72.15,0.8438
115,71.32,0.8442
116,71.48,0.8386
117,71.61,0.8307
118,71.87,0.8241
119,72.45,0.8148
120,72.00,0.8161
121,72.26,0.8093
122,72.09,0.8064
123,72.15,0.8026
124,72.27,0.7990
125,72.68,0.7893
126,72.91,0.7838
127,73.04,0.7802
128,73.27,0.7760
129,73.44,0.7706
130,72.78,0.7721
131,72.78,0.7700
132,72.94,0.7664
133,73.01,0.7625
134,73.45,0.7562
135,73.75,0.7504
136,73.21,0.7527
137,74.06,0.7409
138,73.43,0.7478
139,73.68,0.7413
140,73.81,0.7380
141,73.64,0.7395
142,74.12,0.7307
143,74.20,0.7275
144,74.12,0.7271
145,74.18,0.7241
146,74.11,0.7218
147,74.39,0.7170
148,74.40,0.7172
149,74.43,0.7132
150,74.54,0.7105
151,74.60,0.7086
152,74.69,0.7037
153,75.08,0.6980
154,74.51,0.7078
155,74.71,0.7014
156,74.90,0.6975
157,75.09,0.6923
158,74.97,0.6933
159,75.13,0.6888
160,75.08,0.6890
161,75.27,0.6856
162,75.19,0.6851
163,75.27,0.6843
164,75.12,0.6848
165,75.19,0.6812
166,75.33,0.6774
167,75.29,0.6783
168,75.37,0.6782
169,75.31,0.6774
170,75.31,0.6750
171,75.37,0.6729
172,75.46,0.6704
173,75.54,0.6685
174,75.42,0.6705
175,75.46,0.6680
176,75.45,0.6664
177,75.70,0.6629
178,75.46,0.6654
179,75.93,0.6581
180,75.57,0.6618
181,75.74,0.6602
182,75.82,0.6573
183,75.94,0.6529
184,76.15,0.6513
185,76.17,0.6493
186,76.18,0.6489
187,76.27,0.6481
188,76.21,0.6464
189,76.11,0.6490
190,76.38,0.6440
191,76.20,0.6442
192,76.30,0.6434
193,76.25,0.6433
194,76.37,0.6409
195,76.36,0.6409
196,76.44,0.6395
197,76.51,0.6373
198,76.55,0.6362
199,76.63,0.6338
200,76.47,0.6370
