Round,Accuracy,Average Loss
1,8.52,2.3053
2,8.65,2.3044
3,8.82,2.3030
4,8.95,2.3013
5,9.10,2.2988
6,9.23,2.2963
7,9.41,2.2930
8,9.52,2.2891
9,9.78,2.2845
10,9.96,2.2792
11,10.20,2.2731
12,10.47,2.2660
13,10.57,2.2578
14,10.79,2.2483
15,11.26,2.2374
16,12.15,2.2258
17,13.34,2.2126
18,16.33,2.1978
19,19.05,2.1813
20,24.67,2.1633
21,30.61,2.1437
22,36.29,2.1231
23,40.95,2.1000
24,44.49,2.0764
25,47.45,2.0514
26,50.85,2.0244
27,54.13,1.9963
28,55.79,1.9679
29,58.64,1.9377
30,61.57,1.9056
31,63.55,1.8730
32,65.29,1.8404
33,66.80,1.8063
34,68.72,1.7712
35,69.94,1.7367
36,71.25,1.7012
37,72.01,1.6657
38,73.28,1.6297
39,74.55,1.5925
40,75.58,1.5555
41,76.21,1.5201
42,77.09,1.4830
43,77.90,1.4457
44,78.54,1.4090
45,79.32,1.3727
46,79.98,1.3362
47,80.23,1.3025
48,81.01,1.2665
49,81.56,1.2313
50,82.67,1.1938
51,82.86,1.1632
52,83.42,1.1296
53,83.85,1.0976
54,84.43,1.0649
55,84.83,1.0346
56,85.52,1.0031
57,85.80,0.9738
58,86.23,0.9433
59,86.58,0.9161
60,86.80,0.8912
61,87.23,0.8638
62,87.52,0.8376
63,87.75,0.8137
64,88.06,0.7901
65,88.31,0.7672
66,88.61,0.7450
67,88.84,0.7240
68,89.06,0.7044
69,89.31,0.6836
70,89.60,0.6646
71,89.73,0.6471
72,89.72,0.6306
73,90.08,0.6116
74,90.36,0.5946
75,90.53,0.5800
76,90.59,0.5661
77,90.64,0.5534
78,90.83,0.5374
79,90.91,0.5256
80,91.05,0.5116
81,91.13,0.5003
82,91.25,0.4882
83,91.41,0.4774
84,91.49,0.4667
85,91.64,0.4573
86,91.94,0.4456
87,91.98,0.4367
88,92.02,0.4276
89,92.10,0.4171
90,92.36,0.4079
91,92.33,0.4013
92,92.50,0.3921
93,92.55,0.3839
94,92.68,0.3768
95,92.73,0.3701
96,92.73,0.3636
97,92.85,0.3574
98,92.89,0.3508
99,93.05,0.3441
100,93.00,0.3395
101,93.03,0.3341
102,93.07,0.3282
103,93.15,0.3221
104,93.17,0.3175
105,93.24,0.3122
106,93.31,0.3084
107,93.40,0.3024
108,93.41,0.2988
109,93.44,0.2940
110,93.48,0.2907
111,93.53,0.2857
112,93.58,0.2815
113,93.57,0.2783
114,93.63,0.2745
115,93.69,0.2723
116,93.73,0.2677
117,93.78,0.2638
118,93.79,0.2615
119,93.83,0.2585
120,93.91,0.2548
121,93.98,0.2508
122,94.01,0.2495
123,94.04,0.2469
124,94.09,0.2433
125,94.09,0.2405
126,94.13,0.2379
127,94.18,0.2358
128,94.27,0.2331
129,94.25,0.2317
130,94.28,0.2295
131,94.33,0.2256
132,94.35,0.2241
133,94.38,0.2214
134,94.44,0.2205
135,94.43,0.2186
136,94.45,0.2153
137,94.47,0.2138
138,94.54,0.2112
139,94.54,0.2105
140,94.60,0.2087
141,94.59,0.2067
142,94.61,0.2052
143,94.65,0.2033
144,94.70,0.2011
145,94.69,0.2003
146,94.79,0.1972
147,94.73,0.1973
148,94.82,0.1948
149,94.79,0.1939
150,94.83,0.1926
151,94.89,0.1905
152,94.91,0.1894
153,94.93,0.1882
154,94.95,0.1865
155,95.00,0.1853
156,95.02,0.1837
157,95.03,0.1829
158,95.03,0.1818
159,95.04,0.1801
160,95.01,0.1794
161,95.11,0.1772
162,95.11,0.1755
163,95.14,0.1750
164,95.14,0.1735
165,95.17,0.1727
166,95.19,0.1717
167,95.20,0.1709
168,95.23,0.1687
169,95.21,0.1692
170,95.26,0.1678
171,95.26,0.1667
172,95.29,0.1660
173,95.29,0.1649
174,95.35,0.1639
175,95.40,0.1621
176,95.42,0.1613
177,95.36,0.1612
178,95.44,0.1592
179,95.41,0.1593
180,95.43,0.1577
181,95.45,0.1569
182,95.43,0.1566
183,95.53,0.1549
184,95.53,0.1541
185,95.49,0.1539
186,95.53,0.1523
187,95.49,0.1525
188,95.54,0.1510
189,95.60,0.1497
190,95.58,0.1494
191,95.63,0.1489
192,95.65,0.1478
193,95.66,0.1476
194,95.67,0.1465
195,95.73,0.1459
196,95.72,0.1448
197,95.75,0.1445
198,95.73,0.1434
199,95.78,0.1426
200,95.78,0.1421
