Round,Accuracy,Average Loss
1,9.74,2.3051
2,9.74,2.3048
3,9.74,2.3042
4,9.76,2.3036
5,9.85,2.3029
6,10.31,2.3018
7,10.92,2.3007
8,11.88,2.2991
9,12.63,2.2976
10,14.31,2.2955
11,15.43,2.2930
12,16.78,2.2902
13,17.74,2.2869
14,19.55,2.2831
15,20.50,2.2784
16,21.47,2.2730
17,22.50,2.2674
18,23.29,2.2609
19,24.24,2.2540
20,25.14,2.2463
21,26.30,2.2377
22,27.71,2.2284
23,29.34,2.2182
24,31.71,2.2075
25,32.95,2.1965
26,34.94,2.1843
27,37.09,2.1714
28,39.42,2.1582
29,41.76,2.1438
30,44.01,2.1288
31,46.81,2.1129
32,48.92,2.0962
33,50.87,2.0792
34,53.45,2.0605
35,55.52,2.0407
36,57.08,2.0206
37,58.91,1.9994
38,60.08,1.9781
39,61.49,1.9552
40,62.10,1.9329
41,63.32,1.9093
42,64.80,1.8844
43,65.50,1.8599
44,66.65,1.8344
45,67.76,1.8082
46,68.83,1.7808
47,70.01,1.7531
48,70.81,1.7254
49,71.98,1.6965
50,72.92,1.6674
51,73.66,1.6379
52,74.49,1.6084
53,74.73,1.5802
54,76.29,1.5487
55,77.31,1.5184
56,78.21,1.4880
57,78.70,1.4585
58,79.51,1.4271
59,79.88,1.3979
60,81.09,1.3660
61,81.56,1.3362
62,82.38,1.3058
63,83.06,1.2759
64,83.71,1.2469
65,83.91,1.2180
66,84.10,1.1903
67,84.91,1.1593
68,85.10,1.1325
69,85.76,1.1032
70,86.24,1.0757
71,86.56,1.0487
72,86.83,1.0228
73,87.00,0.9979
74,87.38,0.9725
75,87.83,0.9470
76,87.91,0.9242
77,88.59,0.8988
78,88.72,0.8762
79,88.82,0.8548
80,89.11,0.8313
81,89.41,0.8098
82,89.59,0.7897
83,89.78,0.7693
84,89.96,0.7500
85,90.19,0.7306
86,90.20,0.7136
87,90.68,0.6934
88,90.77,0.6773
89,91.02,0.6610
90,91.02,0.6449
91,91.41,0.6281
92,91.58,0.6136
93,91.72,0.5987
94,91.80,0.5844
95,91.92,0.5705
96,92.01,0.5568
97,92.07,0.5447
98,92.22,0.5316
99,92.37,0.5181
100,92.40,0.5072
101,92.53,0.4956
102,92.64,0.4842
103,92.69,0.4742
104,92.81,0.4631
105,92.87,0.4531
106,92.93,0.4433
107,93.04,0.4338
108,93.14,0.4252
109,93.19,0.4172
110,93.28,0.4078
111,93.31,0.4010
112,93.38,0.3926
113,93.39,0.3857
114,93.43,0.3785
115,93.49,0.3717
116,93.52,0.3653
117,93.61,0.3578
118,93.65,0.3527
119,93.73,0.3459
120,93.76,0.3405
121,93.78,0.3345
122,93.83,0.3280
123,93.82,0.3239
124,93.90,0.3178
125,93.93,0.3130
126,93.98,0.3074
127,94.02,0.3032
128,94.17,0.2983
129,94.07,0.2948
130,94.16,0.2902
131,94.23,0.2856
132,94.26,0.2813
133,94.26,0.2775
134,94.29,0.2742
135,94.34,0.2698
136,94.29,0.2673
137,94.38,0.2636
138,94.39,0.2596
139,94.44,0.2560
140,94.45,0.2532
141,94.48,0.2498
142,94.50,0.2469
143,94.57,0.2438
144,94.59,0.2406
145,94.61,0.2380
146,94.65,0.2357
147,94.65,0.2331
148,94.71,0.2300
149,94.75,0.2273
150,94.80,0.2246
151,94.80,0.2231
152,94.85,0.2200
153,94.87,0.2183
154,94.91,0.2154
155,94.90,0.2134
156,94.97,0.2110
157,94.99,0.2090
158,95.04,0.2068
159,95.11,0.2045
160,95.14,0.2030
161,95.16,0.2010
162,95.20,0.1991
163,95.26,0.1973
164,95.27,0.1954
165,95.28,0.1942
166,95.27,0.1929
167,95.33,0.1910
168,95.34,0.1892
169,95.30,0.1879
170,95.34,0.1865
171,95.38,0.1844
172,95.39,0.1834
173,95.38,0.1819
174,95.38,0.1805
175,95.39,0.1790
176,95.38,0.1780
177,95.40,0.1768
178,95.38,0.1756
179,95.41,0.1741
180,95.42,0.1734
181,95.45,0.1715
182,95.49,0.1704
183,95.52,0.1691
184,95.54,0.1679
185,95.53,0.1673
186,95.51,0.1665
187,95.58,0.1653
188,95.62,0.1646
189,95.59,0.1636
190,95.68,0.1621
191,95.67,0.1610
192,95.68,0.1604
193,95.72,0.1593
194,95.71,0.1588
195,95.76,0.1579
196,95.76,0.1568
197,95.77,0.1560
198,95.76,0.1547
199,95.78,0.1539
200,95.75,0.1540
