Round,Accuracy,Average Loss
1,3.64,2.3103
2,3.78,2.3098
3,3.91,2.3092
4,4.10,2.3085
5,4.33,2.3077
6,4.67,2.3069
7,5.00,2.3060
8,5.43,2.3050
9,5.69,2.3038
10,6.23,2.3026
11,6.66,2.3012
12,7.10,2.2998
13,8.01,2.2983
14,8.84,2.2967
15,9.44,2.2951
16,10.54,2.2931
17,11.87,2.2911
18,13.21,2.2889
19,14.89,2.2867
20,15.80,2.2843
21,17.10,2.2816
22,18.25,2.2789
23,19.33,2.2761
24,20.88,2.2731
25,21.98,2.2700
26,23.55,2.2668
27,24.88,2.2634
28,26.47,2.2597
29,28.51,2.2558
30,29.73,2.2518
31,32.08,2.2477
32,33.67,2.2434
33,36.09,2.2389
34,38.31,2.2343
35,40.05,2.2294
36,42.62,2.2245
37,43.30,2.2197
38,46.07,2.2144
39,47.33,2.2090
40,49.41,2.2034
41,51.24,2.1975
42,52.29,2.1915
43,54.13,2.1855
44,55.63,2.1792
45,56.70,2.1728
46,58.46,2.1662
47,59.32,2.1595
48,61.25,2.1527
49,61.98,2.1457
50,63.26,2.1385
51,64.06,2.1311
52,64.84,2.1236
53,65.92,2.1159
54,66.82,2.1082
55,67.61,2.1002
56,68.57,2.0920
57,69.26,2.0839
58,70.47,2.0755
59,71.42,2.0669
60,71.86,2.0586
61,72.60,2.0495
62,73.23,2.0409
63,74.27,2.0317
64,74.69,2.0229
65,75.16,2.0137
66,75.75,2.0043
67,76.19,1.9947
68,76.56,1.9849
69,76.71,1.9755
70,76.92,1.9660
71,77.53,1.9559
72,77.54,1.9460
73,78.43,1.9358
74,78.84,1.9256
75,79.05,1.9152
76,78.99,1.9053
77,79.45,1.8945
78,79.66,1.8842
79,80.11,1.8735
80,80.10,1.8630
81,80.70,1.8520
82,80.48,1.8420
83,80.85,1.8307
84,81.26,1.8196
85,81.49,1.8088
86,81.71,1.7978
87,81.76,1.7865
88,82.12,1.7754
89,82.28,1.7642
90,82.44,1.7528
91,82.54,1.7417
92,82.44,1.7311
93,82.83,1.7197
94,82.83,1.7084
95,83.01,1.6968
96,83.04,1.6856
97,83.17,1.6740
98,83.20,1.6627
99,83.50,1.6510
100,83.44,1.6398
