Round,Accuracy,Average Loss
1,9.65,2.3038
2,9.92,2.3035
3,10.34,2.3031
4,10.99,2.3027
5,11.91,2.3022
6,12.65,2.3016
7,13.29,2.3010
8,14.07,2.3003
9,14.42,2.2997
10,14.98,2.2989
11,16.08,2.2981
12,16.52,2.2971
13,17.13,2.2962
14,17.87,2.2950
15,18.58,2.2938
16,18.98,2.2925
17,19.52,2.2911
18,20.17,2.2896
19,20.76,2.2880
20,21.26,2.2862
21,21.66,2.2843
22,22.15,2.2822
23,22.59,2.2802
24,22.97,2.2781
25,23.68,2.2758
26,24.27,2.2734
27,24.97,2.2707
28,25.49,2.2681
29,26.30,2.2652
30,27.01,2.2621
31,27.92,2.2590
32,29.32,2.2556
33,30.59,2.2520
34,31.68,2.2483
35,32.80,2.2445
36,34.05,2.2402
37,35.87,2.2357
38,37.33,2.2311
39,38.83,2.2262
40,40.39,2.2211
41,41.67,2.2158
42,43.20,2.2102
43,44.56,2.2044
44,46.08,2.1985
45,47.85,2.1922
46,48.83,2.1860
47,50.05,2.1795
48,51.28,2.1725
49,52.91,2.1656
50,54.35,2.1583
51,55.69,2.1509
52,56.90,2.1433
53,58.08,2.1357
54,59.93,2.1276
55,61.04,2.1191
56,61.95,2.1107
57,63.64,2.1018
58,65.01,2.0930
59,65.98,2.0842
60,66.95,2.0748
61,68.25,2.0651
62,68.81,2.0558
63,69.68,2.0466
64,70.37,2.0365
65,71.27,2.0265
66,71.79,2.0168
67,72.57,2.0064
68,73.30,1.9958
69,73.70,1.9851
70,74.30,1.9741
71,75.15,1.9628
72,75.40,1.9514
73,75.93,1.9398
74,76.36,1.9276
75,76.61,1.9160
76,77.38,1.9039
77,77.77,1.8921
78,77.98,1.8795
79,78.31,1.8676
80,78.65,1.8557
81,79.09,1.8430
82,79.02,1.8298
83,79.42,1.8168
84,79.83,1.8028
85,79.90,1.7897
86,80.39,1.7764
87,80.59,1.7620
88,80.89,1.7482
89,81.26,1.7335
90,81.55,1.7191
91,81.82,1.7048
92,82.08,1.6905
93,82.19,1.6771
94,82.27,1.6623
95,82.61,1.6483
96,82.87,1.6339
97,82.94,1.6198
98,83.19,1.6059
99,83.32,1.5912
100,83.54,1.5769
