Round,Accuracy,Average Loss
1,11.55,2.2948
2,11.81,2.2885
3,12.37,2.2804
4,13.85,2.2704
5,17.22,2.2576
6,23.37,2.2417
7,30.69,2.2234
8,38.29,2.2020
9,45.57,2.1775
10,52.85,2.1496
11,59.59,2.1190
12,66.37,2.0857
13,70.29,2.0505
14,72.83,2.0137
15,76.21,1.9738
16,77.52,1.9313
17,79.63,1.8869
18,81.54,1.8410
19,82.52,1.7955
20,82.31,1.7489
21,83.55,1.7001
22,84.37,1.6485
23,84.89,1.5975
24,84.91,1.5488
25,85.89,1.4913
26,85.83,1.4397
27,86.38,1.3870
28,86.98,1.3329
29,87.06,1.2811
30,87.46,1.2257
31,87.12,1.1794
32,87.86,1.1255
33,88.10,1.0751
34,88.21,1.0293
35,88.65,0.9773
36,87.93,0.9406
37,89.01,0.8874
38,89.00,0.8453
39,89.20,0.8075
40,89.10,0.7727
41,89.68,0.7329
42,89.81,0.7008
43,89.79,0.6711
44,89.89,0.6428
45,90.03,0.6161
46,89.96,0.5944
47,90.19,0.5722
48,89.96,0.5548
49,90.04,0.5387
50,90.36,0.5172
51,90.65,0.4969
52,90.51,0.4845
53,90.59,0.4697
54,90.58,0.4576
55,90.79,0.4429
56,90.71,0.4358
57,91.05,0.4183
58,90.99,0.4104
59,90.98,0.4034
60,91.03,0.3938
61,91.25,0.3840
62,91.27,0.3778
63,91.29,0.3706
64,91.30,0.3677
65,91.46,0.3568
66,91.40,0.3563
67,91.47,0.3501
68,91.55,0.3418
69,91.58,0.3383
70,91.73,0.3312
71,91.61,0.3290
72,91.79,0.3218
73,91.69,0.3231
74,91.89,0.3149
75,91.88,0.3098
76,92.02,0.3083
77,91.94,0.3041
78,91.90,0.3017
79,91.94,0.2965
80,92.02,0.2943
81,91.93,0.2940
82,92.05,0.2891
83,92.01,0.2892
84,92.13,0.2851
85,92.08,0.2850
86,92.11,0.2810
87,92.25,0.2762
88,92.19,0.2750
89,92.22,0.2735
90,92.42,0.2707
91,92.27,0.2712
92,92.48,0.2666
93,92.36,0.2676
94,92.36,0.2656
95,92.48,0.2627
96,92.48,0.2621
97,92.65,0.2570
98,92.66,0.2554
99,92.57,0.2563
100,92.62,0.2532
